COUNTY OF RESIDENCE:,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ALAMANCE,"1,863",138,124,160,163,148,177,181,182,154,122,157,157
ALEXANDER,357,28,40,35,24,22,30,39,34,30,33,13,29
ALLEGHANY,79,4,5,8,8,4,6,11,7,9,8,4,5
ANSON,254,21,14,28,23,16,19,19,26,16,20,26,26
ASHE,204,16,9,19,23,16,28,6,20,20,19,12,16
AVERY,135,6,13,9,8,15,9,10,16,6,16,17,10
BEAUFORT,433,38,28,19,35,44,42,28,42,38,37,43,39
BERTIE,161,15,10,18,17,15,14,16,14,8,8,17,9
BLADEN,344,37,21,22,25,31,20,42,36,32,20,32,26
BRUNSWICK,"1,026",120,70,88,67,80,77,99,102,74,89,81,79
BUNCOMBE,"2,464",218,171,217,179,197,206,209,212,229,225,196,205
BURKE,890,87,56,75,71,85,78,107,65,69,57,70,70
CABARRUS,"2,537",219,211,196,199,199,212,223,252,202,221,182,221
CALDWELL,882,91,67,78,72,79,75,82,76,65,80,52,65
CAMDEN,104,7,7,6,14,5,9,8,19,13,5,7,4
CARTERET,521,46,30,32,40,52,48,44,58,44,48,40,39
CASWELL,209,18,16,17,16,15,17,18,18,12,22,19,21
CATAWBA,"1,687",149,125,147,133,154,143,168,147,136,137,113,135
CHATHAM,609,43,60,41,59,51,50,50,55,49,58,40,53
CHEROKEE,245,20,14,18,23,15,23,22,24,13,22,25,26
CHOWAN,123,9,6,8,6,13,10,16,8,18,10,5,14
CLAY,86,7,5,11,7,3,7,8,7,3,11,9,8
CLEVELAND,"1,146",86,92,89,86,73,93,104,117,109,115,80,102
COLUMBUS,562,44,34,39,53,38,53,53,51,35,56,53,53
CRAVEN,"1,319",103,85,116,105,115,109,104,130,108,138,112,94
CUMBERLAND,"5,462",475,412,478,423,449,453,470,481,480,473,427,441
CURRITUCK,259,25,28,15,18,27,12,22,29,26,27,20,10
DARE,310,26,33,32,21,21,26,22,28,30,27,21,23
DAVIDSON,"1,775",161,126,139,130,163,149,186,182,131,137,127,144
DAVIE,402,39,29,28,37,26,32,42,33,38,28,37,33
