Date,Text.Info Card,Antigen Cases - Specimen Date,Antigen Positive Cases by Specimen Date,Antigen Test,Cases by Report Date,Daily Tests Total,Deaths - Date of Deaths,Deaths by Date of Death,Molecular (PCR) Positive Cases by Specimen Date,Molecular Cases - Specimen Date,Molecular Test,Positive Test Percentage,Reinfections,Total Cases That Were Reinfections
4/1/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",0,0,,86,3435,9,9,239,239,,0.075298126,0,0
4/3/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",0,0,,236,3404,11,11,203,203,,0.080821918,0,0
4/5/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",0,0,,183,1343,9,9,86,86,,0.081929303,0,0
4/10/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",0,0,,257,10211,7,7,317,317,,0.084367246,0,0
4/18/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",0,0,,281,3600,19,19,139,139,,0.139646870,0,0
4/19/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",0,0,,353,2592,15,15,121,121,,0.128712871,0,0
4/27/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",0,0,,312,2134,15,15,559,559,,0.110968843,0,0
5/1/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",0,0,,414,5490,17,17,451,451,,0.070369372,1,1
5/2/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",1,1,,586,5961,13,13,182,182,,0.077557331,0,0
5/3/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",0,0,,155,5202,19,19,173,173,,0.063476238,0,0
5/15/2020,"
•Total tests represent the number of tests reported to NCDHHS for that day. This tells us how much daily testing is completed throughout the state. This includes both total tests reported daily through electronic laboratory reporting, and those that are submitted manually. Because tests can be reported in batches, dates may be backfilled, and data might fluctuate over time. 
•Tests have been broken out to show molecular (PCR) vs. antigen tests completed starting with data on Sept. 22, 2020.  For dates prior to Sept. 22, 2020, test totals cannot be broken out according to test type due to data limitations in the process previously used for laboratory reporting of test totals. 
However, it is likely that antigen tests were included in aggregate totals submitted by laboratories in daily reports in the past",0,0,,622,13923,8,8,705,705,,0.069991251,0,0
