COUNTY OF DEATH:,TOTAL,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ALAMANCE,"1,953",221,171,142,144,157,134,154,167,147,147,176,193
ALEXANDER,215,15,15,16,28,14,16,10,16,20,15,16,34
ALLEGHANY,142,16,14,13,10,15,12,11,17,10,10,8,6
ANSON,199,22,20,16,14,12,16,18,17,14,19,14,17
ASHE,344,43,31,34,28,24,27,35,29,26,29,16,22
AVERY,161,17,4,12,12,9,19,12,10,15,19,16,16
BEAUFORT,571,61,58,49,50,44,43,44,38,58,46,39,41
BERTIE,203,23,15,17,19,17,15,21,15,17,9,17,18
BLADEN,291,27,23,25,33,27,21,16,22,16,29,29,23
BRUNSWICK,"1,455",141,100,108,118,130,112,118,131,134,111,103,149
BUNCOMBE,"4,262",447,371,341,325,323,342,356,304,350,392,332,379
BURKE,"1,048",112,98,69,84,95,63,77,82,78,90,79,121
CABARRUS,"2,315",242,188,187,157,179,200,185,176,172,202,219,208
CALDWELL,"1,141",137,99,92,90,96,73,93,92,97,90,92,90
CAMDEN,66,8,6,4,6,9,5,8,5,4,3,7,1
CARTERET,989,97,68,93,60,65,93,82,93,74,100,86,78
CASWELL,194,16,8,23,16,9,18,15,20,13,16,18,22
CATAWBA,"2,279",247,196,190,169,159,178,179,159,187,221,181,213
CHATHAM,907,90,71,69,68,81,74,75,66,72,72,80,89
CHEROKEE,335,38,25,30,22,32,32,24,25,26,26,31,24
CHOWAN,244,28,18,21,12,15,18,22,20,24,23,22,21
CLAY,130,14,13,16,14,10,10,8,9,11,6,8,11
CLEVELAND,"1,461",156,146,114,96,110,111,111,124,101,131,131,130
COLUMBUS,751,89,60,68,51,47,64,64,61,63,65,66,53
CRAVEN,"1,354",152,124,113,65,115,95,105,111,108,109,130,127
CUMBERLAND,"3,305",400,287,258,232,249,280,261,255,280,249,274,280
CURRITUCK,181,14,14,12,7,14,12,17,16,22,14,27,12
DARE,304,25,23,19,23,25,25,24,26,27,35,25,27
DAVIDSON,"1,769",188,153,155,127,124,135,154,143,126,153,165,146
DAVIE,378,46,27,22,28,34,35,37,33,24,29,29,34
DUPLIN,425,45,44,35,28,37,35,33,29,34,28,28,49
DURHAM,"4,020",362,348,322,348,331,320,287,313,320,342,323,404
EDGECOMBE,573,71,41,40,41,36,54,46,43,50,55,45,51
FORSYTH,"5,995",645,564,518,438,460,442,473,482,458,511,478,526
FRANKLIN,450,43,34,30,35,38,39,39,21,27,44,55,45
GASTON,"2,836",324,264,250,212,223,189,230,229,202,235,223,255
GATES,92,12,5,8,11,4,11,5,6,5,9,9,7
GRAHAM,68,4,4,4,6,3,6,9,7,7,7,5,6
GRANVILLE,521,59,52,48,39,47,34,31,48,44,39,45,35
GREENE,152,13,9,12,12,12,14,9,15,16,17,14,9
GUILFORD,"6,082",663,577,533,434,474,471,498,513,442,510,447,520
HALIFAX,558,73,59,49,43,35,43,32,46,55,42,46,35
HARNETT,977,123,60,84,55,95,70,74,88,75,73,80,100
HAYWOOD,817,84,57,53,64,72,60,60,71,82,68,59,87
HENDERSON,"1,695",206,128,125,131,140,112,130,133,147,123,153,167
HERTFORD,282,52,15,13,20,16,18,32,20,23,21,25,27
HOKE,332,35,21,21,22,29,28,25,34,21,32,29,35
HYDE,30,4,4,1,3,1,3,1,4,1,6,2,0
IREDELL,"1,855",245,154,122,143,132,153,148,147,140,160,149,162
JACKSON,364,45,16,18,32,21,31,29,39,32,31,36,34
JOHNSTON,"1,615",179,118,118,116,141,118,134,133,110,141,137,170
JONES,86,9,4,3,6,9,10,11,4,7,12,7,4
LEE,568,61,41,43,53,47,48,53,37,48,53,37,47
LENOIR,684,88,67,43,41,55,52,49,54,45,60,72,58
LINCOLN,746,81,91,58,47,50,57,56,63,49,65,52,77
MCDOWELL,402,39,41,26,31,30,39,38,36,26,34,33,29
MACON,443,54,35,32,27,43,42,33,33,29,46,37,32
MADISON,157,13,17,17,8,11,14,9,14,14,11,16,13
MARTIN,230,20,31,19,20,9,11,15,21,22,23,23,16
MECKLENBURG,9428,"1,060",862,684,711,736,727,782,784,696,762,808,816
MITCHELL,285,39,23,20,25,23,19,21,23,23,14,23,32
MONTGOMERY,227,26,17,13,16,11,25,26,28,13,23,15,14
MOORE,"1,868",244,186,148,107,137,119,132,164,149,142,167,173
NASH,"1,115",149,104,89,74,96,81,84,75,83,96,95,89
NEW HANOVER,"3,484",301,307,281,243,265,299,289,282,312,290,293,322
NORTHAMPTON,199,24,13,14,16,28,14,13,20,11,13,16,17
ONSLOW,"1,223",144,102,108,87,94,84,90,98,103,102,94,117
ORANGE,"1,673",146,130,143,117,137,127,154,122,158,136,144,159
