Age Group,County,Demographic,Ethnicity,Gender,Hispanic,Metric Type,Metrics Selection,Month of,Race,Week Ending,Cases,Deaths
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,3/14/2020,10,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,4/18/2020,87,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,6/20/2020,994,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,8/8/2020,545,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,8/22/2020,496,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,10/17/2020,636,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,10/31/2020,761,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,1/2/2021,2624,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,4/3/2021,839,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,8/21/2021,1866,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,9/25/2021,1179,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,10/9/2021,738,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,10/23/2021,542,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,1/15/2022,9195,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,2/5/2022,2193,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,4/23/2022,541,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,8/6/2022,1508,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,8/13/2022,1142,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,9/24/2022,546,0
25-49,Mecklenburg County,Age Group,,,,Cases,Race,,,12/10/2022,711,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,3/7/2020,0,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,3/14/2020,2,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,3/28/2020,92,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,4/4/2020,75,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,4/18/2020,58,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,4/25/2020,52,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,5/2/2020,41,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,5/9/2020,67,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,5/16/2020,95,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,5/23/2020,114,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,5/30/2020,173,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,6/6/2020,222,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,6/20/2020,279,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,6/27/2020,382,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,7/4/2020,355,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,7/11/2020,425,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,8/8/2020,239,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,8/15/2020,188,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,8/22/2020,201,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,8/29/2020,206,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,9/5/2020,156,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,9/12/2020,107,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,10/3/2020,188,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,10/10/2020,208,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,10/17/2020,279,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,11/7/2020,368,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,11/21/2020,452,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,11/28/2020,471,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,12/5/2020,846,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,12/12/2020,809,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,12/19/2020,974,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,1/2/2021,1102,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,1/16/2021,1031,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,1/30/2021,774,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,2/13/2021,439,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,2/20/2021,366,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,2/27/2021,290,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,3/6/2021,200,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,3/13/2021,213,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,3/20/2021,240,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,4/3/2021,248,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,4/10/2021,283,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,4/24/2021,238,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,5/1/2021,206,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,5/8/2021,176,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,5/15/2021,103,0
50-64,Mecklenburg County,Age Group,,,,Cases,Race,,,5/22/2021,83,0
